TimeStep,Price,Basic_PnL,Enhanced_PnL,OBI,PriceChange
694,78.3341,109.065,137.084,0.288469,-0.00316654
695,78.243,109.065,137.084,0.293902,-0.00116252
696,78.9643,109.065,137.084,0.417358,0.00921866
697,81.3438,109.065,137.084,0.528795,0.0301333
698,83.813,83.9661,109.765,0.604251,0.0303552
699,84.8719,83.9661,109.765,0.645432,0.0126336
700,84.4536,83.9661,109.765,0.524487,-0.00492855
701,84.2406,83.9661,109.765,0.4441,-0.00252157
702,82.5981,68.7116,95.639,0.379949,-0.019498
703,81.6648,68.7116,95.639,0.290547,-0.0112988
704,80.7762,86.8121,115.475,0.253076,-0.0108813
705,80.1694,86.8121,115.475,0.221726,-0.00751204
706,79.4086,86.8121,115.475,0.221963,-0.00949021
707,80.7725,86.8121,115.475,0.40847,0.0171763
708,79.9132,86.2258,113.723,0.363071,-0.0106387
709,80.345,86.2258,113.723,0.459167,0.00540231
710,79.1563,86.2258,113.723,0.430919,-0.0147945
711,80.3605,86.2258,113.723,0.522468,0.0152127
712,80.1745,86.2258,113.723,0.469935,-0.00231474
713,79.6024,86.2258,113.723,0.40046,-0.00713484
714,78.5093,86.2258,113.723,0.341784,-0.0137319
715,78.8836,86.2258,113.723,0.485199,0.00476769
716,78.4624,99.3781,126.004,0.459332,-0.00534017
717,78.5288,110.668,137.618,0.55286,0.000845876
718,79.36,103.274,129.195,0.604938,0.0105852
719,78.9318,103.274,129.195,0.47611,-0.00539513
720,78.8952,103.274,129.195,0.433137,-0.000463705
721,79.6053,103.274,129.195,0.578659,0.00899959
722,80.0099,94.5815,120.165,0.678207,0.00508328
723,80.1122,90.8496,114.994,0.722854,0.00127893
724,80.9515,90.8496,114.994,0.73185,0.0104762
725,81.525,81.3336,104.576,0.768073,0.00708426
726,84.4197,74.9153,97.4789,0.777718,0.0355067
727,83.1209,40.0592,62.2411,0.597195,-0.0153847
728,82.8801,69.8132,95.9903,0.473845,-0.00289678
729,82.082,72.8226,101.459,0.400573,-0.00963048
730,82.2738,72.8226,101.459,0.537141,0.00233702
731,82.6906,72.8226,101.459,0.637045,0.00506587
732,82.3721,72.8226,101.459,0.508744,-0.00385187
733,81.3231,72.8226,101.459,0.431571,-0.0127337
734,81.1475,72.8226,101.459,0.432404,-0.00215971
735,82.7619,91.9913,121.357,0.501173,0.0198945
736,84.4862,91.9913,121.357,0.584564,0.0208347
737,85.1211,91.9913,121.357,0.624014,0.0075142
738,84.2698,42.3557,68.5135,0.468625,-0.0100009
739,84.347,42.3557,68.5135,0.579001,0.00091654
740,85.6569,42.3557,68.5135,0.622594,0.0155296
741,86.4065,36.3517,62.5216,0.692303,0.00875133
742,87.6573,36.3517,62.5216,0.739016,0.0144759
743,86.877,36.3517,62.5216,0.602887,-0.00890254
744,86.9906,36.3517,62.5216,0.651735,0.0013083
745,86.4223,36.3517,62.5216,0.509954,-0.00653245
746,85.7437,36.3517,62.5216,0.399519,-0.00785233
747,85.5526,36.3517,62.5216,0.343473,-0.00222868
748,85.4358,36.3517,62.5216,0.267983,-0.00136581
749,85.7754,36.3517,62.5216,0.419496,0.00397553
750,84.2198,36.3517,62.5216,0.357935,-0.0181366
751,84.6984,36.3517,62.5216,0.480684,0.00568271
752,84.7283,36.3517,62.5216,0.585447,0.000353404
